303	348	10059
736	181	10127
4637	1497	16472
2817	1052	8774
2223	906	8554
2227	912	8624
3606	131	10665
3612	215	1695
3616	1060	9470
321	374	10041
11	12	6991
2043	844	8658
3620	565	11610
3624	313	11367
16	14	5701
17	15	7598
7687	2399	21475
3812	1144	14189
4062	1271	15735
2239	928	6322
4655	1504	16813
2063	854	7371
5431	1946	19281
343	239	10039
3470	178	9892
27	21	6697
2243	930	8670
2067	776	10817
32	25	32
33	26	9749
34	8	6694
2071	771	9981
36	28	6705
37	13	6687
38	29	6704
39	30	6703
357	404	9955
41	32	6702
1768	823	9797
1177	378	10058
45	34	6706
363	414	9862
754	185	10946
48	7	6700
942	344	10333
758	650	11098
578	550	10090
54	39	6635
760	637	9702
56	4	8366
584	554	10099
3314	1086	7666
948	397	10459
3842	1160	14258
2994	753	8748
62	45	9585
63	47	651
64	48	652
3846	1163	14272
66	50	3133
67	51	5776
1466	793	10131
2263	942	10521
2863	182	9921
72	54	11394
73	60	9971
74	61	9274
75	62	5408
2083	603	10150
3478	368	9944
3326	1089	10523
80	68	10472
3640	174	10688
3645	668	10723
979	710	9089
3864	1165	14152
3653	1100	9800
980	710	9576
2692	739	9624
3498	478	10661
2300	744	8747
92	86	10454
1945	833	7776
611	105	9849
2883	112	9872
617	562	770
3657	785	10107
3502	346	10865
3506	113	10722
2705	65	9645
3658	785	8780
636	524	11173
2505	521	9632
3663	244	10253
1510	289	9856
109	110	10085
1971	838	2112
111	115	9587
1975	443	10493
3034	584	11014
3884	1178	14449
3671	1111	13154
3890	1177	14924
3679	1118	13443
1008	715	10094
120	123	10426
2513	756	9636
1987	232	10061
3389	388	963
2132	875	11722
1256	432	9873
3047	707	11138
3052	948	11859
3683	1122	12628
3401	284	10644
3902	1183	14914
2144	883	1754
135	133	10288
2931	1069	2207
693	613	9421
3687	1125	12537
3691	1127	14169
140	148	9557
2932	1069	2206
2336	732	9627
2739	167	8780
2933	1069	2477
3417	67	9468
147	159	10428
2545	1020	9848
2743	658	10116
3421	655	972
3910	1187	14580
3695	1129	13942
3060	954	10793
3433	625	1115
3699	1130	12306
3703	1133	13830
3064	1073	7918
1565	193	9947
717	633	9866
161	197	3829
3918	1195	14920
3544	1097	11054
732	591	999
168	204	9222
3561	257	10722
2186	469	10038
3570	939	11027
3088	79	10782
3575	1070	9575
3579	780	1103
3949	1207	15246
2967	510	11495
2799	1046	9866
3588	999	9909
184	108	10817
185	220	3827
186	225	9590
2807	816	11374
3960	1209	15117
2393	752	9626
3735	1132	14274
3739	1143	14189
3743	1151	14638
2414	964	11053
195	233	11396
4012	1248	14864
3792	1147	13422
