id,customuser_id,permission_id
1117,32,80
1118,32,79
1078,15640,160
1079,15640,161
1080,15640,162
1081,15640,163
1082,15640,164
1083,15640,165
1084,15640,139
1085,15640,140
1086,15640,141
1087,15640,142
1088,15640,143
1089,15640,144
1090,17351,112
1091,17351,113
1092,17351,114
1093,17351,115
1094,17351,116
1095,17351,117
1096,17351,118
1097,17351,119
1098,17351,120
1099,17351,121
1100,17351,122
1101,17351,123
1102,17351,124
1103,17351,125
1104,17351,126
