4391	313	701	1
4396	284	715	1
4431	323	730	1
4337	310	727	1
4342	309	726	1
4187	273	709	1
2614	37	70	598
2615	37	71	599
2616	37	72	600
3783	290	660	1
3784	290	661	2
3785	290	662	3
3789	290	666	7
3804	293	683	1
3805	293	684	2
3806	293	685	3
3807	293	686	4
4392	271	707	1
4397	285	716	1
4422	260	706	1
4432	322	730	1
4338	311	728	1
4188	274	710	1
4370	205	718	1
4385	317	705	1
4388	315	702	1
3790	291	667	1
3791	291	668	2
3792	291	669	3
3793	291	670	4
3082	33	14	1
3083	33	15	2
3084	33	16	3
4398	286	717	1
4433	320	731	1
4334	307	724	1
4344	312	729	1
4371	197	719	1
4184	272	708	1
4189	275	711	1
4376	199	722	1
4386	318	704	1
4389	316	703	1
2680	7	25	603
2681	7	24	604
2682	7	23	605
4394	283	714	1
4399	287	697	1
4434	321	732	1
4372	203	720	1
4377	201	569	1
4190	276	712	1
4267	263	604	1
3770	288	646	1
3771	288	647	2
3772	288	648	3
3773	288	649	4
3774	288	650	5
3775	288	651	6
3776	288	652	7
2671	86	31	597
2672	86	30	598
2673	86	4	599
3794	291	671	5
3795	291	674	6
3796	291	675	7
3808	294	687	1
3809	294	688	2
2735	31	536	607
2736	31	537	608
2737	31	538	609
2902	32	17	642
2903	32	18	643
2904	32	19	644
4395	277	713	1
4341	308	725	1
4435	319	730	1
4191	301	631	1
3393	302	535	1
3394	303	535	1
3395	304	535	1
3396	305	535	1
3397	306	535	1
3777	289	653	1
3778	289	654	2
3779	289	656	3
3780	289	657	4
3781	289	658	5
3782	289	659	6
3797	292	676	1
3798	292	677	2
3799	292	678	3
3800	292	679	4
3801	292	680	5
3802	292	681	6
3803	292	682	7
3810	294	689	3
3811	294	690	4
3812	294	691	5
3813	294	692	6
3814	294	693	7
3815	294	694	8
3816	294	696	9
4095	15	608	1
